id,type,wikidata_name_first,wikidata_name,mainsnak.property_text,wikidata_description_first,wikidata_description,wikidata_name2_first,wikidata_name2,mainsnak.datavalue.value.latitude,mainsnak.datavalue.value.longitude
Q2595707$87F36669-8E38-4456-AABE-869A4324F728,statement,ru_Национальный музей Кении,ru_Национальный музей Кении;fr_musée national de Nairobi;uk_Національний музей Кенії;en_Nairobi National Museum;fi_Nairobin kansallismuseo;ka_კენიის ეროვნული მუზეუმი;sv_Nairobi National Museum;nb_Nairobi National Museum,coordinate location,,,ru_Национальный музей Найроби,ru_Национальный музей Найроби;uk_Національний музей Найробі,-1.27404,36.8145
q2748822$A64EB24E-7188-4CD4-8207-3444CE2464B7,statement,pl_Wodospad Thomsona,pl_Wodospad Thomsona;fr_Chutes de Thomson;es_Cataratas de Thomson;en_Thomson's Falls;lt_Tomsono krioklys;nb_Thomsonfallene,coordinate location,,,pl_Wodospad Thompsona,pl_Wodospad Thompsona;fr_Thomson's Falls,0.044166666666667,36.370277777778
Q3056770$71429D43-F7F4-45FD-A723-1B20C45C0DA5,statement,sw_Kitui,sw_Kitui;pl_Kitui;fr_Kitui;ka_კიტუი;en_Kitui;ca_Kitui;sv_Kitui;nl_Kitui;nb_Kitui;ur_کیتوئی;zh_基圖伊;es_Kitui;ceb_Kitui (kapital sa lalawigan);ja_キツイ;it_Kitui,coordinate location,fr_Ville de la province orientale du Kenya,fr_Ville de la province orientale du Kenya,,,-1.366667,38.016667
q3272625$D0E3B449-270F-4721-B453-E55C033B18B1,statement,sw_Ukumbi wa Mikutano wa Kimataifa wa Kenyatta,sw_Ukumbi wa Mikutano wa Kimataifa wa Kenyatta;ja_ケニヤッタ国際会議場;en_Kenyatta International Convention Centre;fi_Kenyatta International Conference Centre;sv_Kenyatta International Conference Centre;fr_centre de conférence international Kenyatta;de_Kenyatta International Conference Centre;de-ch_Kenyatta International Conference Centre;en-ca_Kenyatta International Conference Centre;en-gb_Kenyatta International Conference Centre;nb_Kenyatta International Conference Centre;pl_Kenyatta International Conference Centre;ru_Международный конференц-центр Кеньятта;es_Kenyatta International Conference Centre;zh_肯雅塔國際會議中心,coordinate location,,,en_KICC,en_KICC,-1.2886111111111,36.823055555556
Q3499659$D3629ED9-5A51-4AC2-8BBE-65EAE91478AE,statement,sw_Mwingi,sw_Mwingi;pl_Mwingi;en_Mwingi;sv_Mwingi;nl_Mwingi;ur_مونگی;es_Mwingi;ja_ムウィンギ;it_Mwingi,coordinate location,nl_nederzetting in Kenia,nl_nederzetting in Kenia;es_ciudad de Kenia,,,-0.93333333,38.05
Q3565634$EF3919F4-4930-44F5-8233-89F754FBBAF0,statement,fa_فرودگاه ناکورو,fa_فرودگاه ناکورو;en_Nakuru Airport;tg_Фурудгоҳи нокуру;ja_ナクル空港;ceb_Nakuru Airport;sv_Nakuru Airport;ms_Lapangan Terbang Lanet,coordinate location,,,en_Lanet Airport,en_Lanet Airport,-0.29972222,36.16055556
Q3565634$411D39DE-141D-4120-AC7F-C803A7857AEB,statement,fa_فرودگاه ناکورو,fa_فرودگاه ناکورو;en_Nakuru Airport;tg_Фурудгоҳи нокуру;ja_ナクル空港;ceb_Nakuru Airport;sv_Nakuru Airport;ms_Lapangan Terbang Lanet,coordinate location,,,en_Lanet Airport,en_Lanet Airport,-0.302695,36.150833
q3695222$743E2011-3962-43FD-91CA-4C10AB450C4F,statement,sw_Ol Donyo Sabuk,sw_Ol Donyo Sabuk;en_Ol Donyo Sabuk;pnb_اول دنیو سبوک نیشنل پارک;fr_parc national d'Ol Donyo Sabuk,coordinate location,fr_parc national du Kenya,fr_parc national du Kenya,,,-1.0827444444444,37.248938888889
q4384864$B90AA6B3-9DAA-4732-9884-442F2C2AE4D2,statement,ja_ニュー・セントラル・バンク・タワー,ja_ニュー・セントラル・バンク・タワー;es_New Central Bank Tower;en_Times Tower;sv_New Central Bank Tower;en-ca_Times Tower;en-gb_Times Tower;pl_Times Tower;fr_Times Tower;zh-hant_時代大廈;zh-cn_时代大厦,coordinate location,,,es_Torre nueva del banco central,es_Torre nueva del banco central;en_New Central Bank Tower,-1.2902777777778,36.823888888889
Q4629814$53B5C8BC-AB39-4B9F-B0DC-F6246A712EFF,statement,en_2013 Safari Sevens,en_2013 Safari Sevens,coordinate location,,,,,-1.30419,36.8245
q4689416$E2D34C8A-9A1B-43FB-99ED-83968F5F378E,statement,en_Afraha Stadium,en_Afraha Stadium;pl_Afraha Stadium;de_Afraha Stadium,coordinate location,"nl_multifunctioneel stadion in Nakuru, Kenia","nl_multifunctioneel stadion in Nakuru, Kenia",,,-0.29538,36.073705
q4690921$18E73766-598E-4841-984C-1612BF45E9F9,statement,"en_Aga Khan Academy, Nairobi","en_Aga Khan Academy, Nairobi",coordinate location,,,,,-1.265486,36.822799
Q4732316$f1daa4c8-4c07-f753-2c9d-5d817fb43111,statement,en_Alliance High School,en_Alliance High School,coordinate location,,,en_AHS,en_AHS,-1.2614912,36.6664302
Q4842494$75ECD0F3-54AD-452C-BCA7-557EBD80B378,statement,"en_Bahati, Nairobi","en_Bahati, Nairobi",coordinate location,,,,,-1.28,36.85
Q4875978$93DAD7B5-459C-4FC0-918A-76581B1D4AC9,statement,en_Beacon Ranch,en_Beacon Ranch;nl_Beacon Ranch,coordinate location,,,,,-1.4,36.93
Q4955298$1A607756-A071-4C3D-A209-AFECAFD0926A,statement,en_Braeburn High School,en_Braeburn High School,coordinate location,"en_international school in Nairobi, Kenya","en_international school in Nairobi, Kenya;nl_voortgezet onderwijsinstelling in Kenia",,,-1.289227,36.756084
Q5064740$5E5A5DE1-8CE0-4507-A79A-71E47FC4560E,statement,en_Ceronge,en_Ceronge;nl_Ceronge,coordinate location,,,,,-0.45,36.97
Q5097136$3848F057-BCFF-4588-932F-888F7DC7781A,statement,"en_Chieko, Kenya","en_Chieko, Kenya;nl_Chieko, Kenya",coordinate location,,,,,-1.15,36.63
Q319371$A26F0C31-701E-4D00-BEBB-439EE091C4AD,statement,ru_Абердэр (хребет),ru_Абердэр (хребет);fr_Aberdare;bg_Абердаре;zh_阿伯德爾山脈;pt_Montes Aberdare;be_Абердарскі хрыбет;de_Aberdare Range;sw_Milima Aberdare;ka_აბერდარის ქედი;sv_Aberdarebergen;en_Aberdare Range;pl_Góry Aberdare;it_Monti Aberdare;fi_Aberdarevuoristo;da_Aberdarebjergene;es_Montes Aberdare;nl_Aberdare Range;be-tarask_Абэрдарскі хрыбет;nb_Aberdarefjellene;ca_Serralada Aberdare;ja_アベテーア山脈;ceb_Aberdare Range;uk_Абердер;he_אברדייר (רכס הרים),coordinate location,,,ru_Абердарский хребет,ru_Абердарский хребет;ru_Абердеры;ru_Абердэрский хребет;fr_Sattima;bg_Абердаре (планина);pt_Montes aberdare;sv_Aberdare-bergen;sv_Lord Aberdare Range;sv_Aberdare Range;pl_Park Narodowy Aberdare;pl_Aberdares;pl_Park Narodowy Aberdares;pl_Aberdare National Park;pl_Aberdares National Park;es_Montes Sattima;ca_Monts Aberdare;ja_アベルダレ山地,-0.41666667,36.63333333
Q5141728$75CA4383-95FC-428A-BC62-3C411D1031FA,statement,en_Cokereria,en_Cokereria;nl_Cokereria,coordinate location,,,,,-0.43,36.35
Q5155131$D804D2B1-5B21-4F0C-9D53-B60480035591,statement,en_Como Farm,en_Como Farm;nl_Como Farm,coordinate location,,,,,-1.05,37.05
Q5208643$691294EE-B8FA-43AE-BE49-DEAA0F06A9BF,statement,en_Dagoretti,en_Dagoretti;sw_Dagoretti,coordinate location,,,,,-1.3,36.76666667
Q5350306$FA2D4C93-311C-45D9-B0F2-0840C0DD7585,statement,en_Ekaru,en_Ekaru;nl_Ekaru,coordinate location,,,,,-1.2,36.7
Q5366459$F78715C8-896D-4ED8-A85D-59514CF6C453,statement,en_Elmenteita,en_Elmenteita;nl_Elmenteita,coordinate location,,,,,-0.48,36.15
q5370375$9695B550-12B1-4858-8F37-873B3B11388D,statement,fa_امنینگ,fa_امنینگ;en_Emening;nl_Emening,coordinate location,,,,,0.15,35.88
Q5516179$3BA4B150-C011-45CF-95FD-1B46515E4014,statement,en_Gacharageini,en_Gacharageini;nl_Gacharageini,coordinate location,,,,,-0.63,36.88
Q5516219$A7B88031-05FF-46A5-B974-D404FC64FB1A,statement,en_Gachirero,en_Gachirero;nl_Gachirero,coordinate location,,,,,-0.55,37.05
Q5517033$7703AF2A-1D9E-47C0-BA15-7291C54DE9BD,statement,en_Gaikundo,en_Gaikundo;nl_Gaikundo,coordinate location,,,,,-0.52999997,37
Q5517036$089691AF-4B33-410C-AFFB-7388C490ABDC,statement,en_Gaikuyu,en_Gaikuyu;nl_Gaikuyu,coordinate location,,,,,-0.4,37.13
Q5517705$E7DA4E5D-484D-4622-A0B3-5C51911F5C60,statement,en_Gakui,en_Gakui;nl_Gakui,coordinate location,,,,,-0.93,36.92
Q5517720$1688126A-BF30-43B4-98D2-2C023722793C,statement,en_Gakwegore,en_Gakwegore;nl_Gakwegore,coordinate location,,,,,-0.42,37.58
Q5523289$8049F772-532D-40B8-847A-C022637DD291,statement,en_Gariba,en_Gariba;nl_Gariba,coordinate location,,,,,0.38,37.6
Q5527337$B0763A94-B043-45AE-B91F-144243830318,statement,en_Gathalni Farm,en_Gathalni Farm;nl_Gathalni Farm,coordinate location,,,,,-1.23,36.97
Q5527339$1CF7D0C0-F919-483C-A7C4-76BE6B85FBAA,statement,en_Gathambi,en_Gathambi;nl_Gathambi,coordinate location,,,,,-0.47,37.2
Q5527347$9948F7F4-0F47-4400-922B-46F4CB502D94,statement,ki_Gathanji,ki_Gathanji;en_Gathanji;nl_Gathanji,coordinate location,,,,,-1.1,36.75
Q5527383$93771FA1-0866-4FB8-825F-5BEF4F1754B9,statement,en_Gathiga,en_Gathiga;nl_Gathiga,coordinate location,,,,,-1.22,36.75
Q5527384$01A59AA0-EBA2-4A18-9DA5-C3919C8AA66A,statement,en_Gathigio,en_Gathigio;nl_Gathigio,coordinate location,,,,,-0.8,37.07
Q5527385$704F5E5F-186A-4212-9DFD-69FB4AA1B6D5,statement,en_Gathigiriri,en_Gathigiriri;nl_Gathigiriri,coordinate location,,,,,-0.68,37.4
Q5527386$1C020103-01F9-4010-8626-E7D6D28C32A0,statement,en_Gathima,en_Gathima;nl_Gathima,coordinate location,,,,,-1.03,36.75
Q5527388$328B7C49-74C7-4035-B0D8-83BFA9199B9C,statement,en_Gathinja,en_Gathinja;nl_Gathinja,coordinate location,,,,,-0.72,37.02
Q5527394$2522A6C4-0E49-4533-B508-D624A1641C97,statement,en_Gathugu,en_Gathugu;nl_Gathugu,coordinate location,,,,,-0.97,36.73
Q5527403$B98CE162-0618-42F1-96E8-D974715EFF48,statement,en_Gathuthi,en_Gathuthi;nl_Gathuthi,coordinate location,,,,,-0.48,36.88
Q5527405$DF2F011C-AECF-4E36-8432-64E867094A9D,statement,ki_Gathungururu,ki_Gathungururu;en_Gathungururu;nl_Gathungururu,coordinate location,,,,,-0.55,37.02
Q5527412$AB93C86A-5528-46A8-9C5C-BAB6A6F0A9F7,statement,en_Gatimu,en_Gatimu;nl_Gatimu,coordinate location,,,,,-1.17,36.65
Q5527535$C8F9D90E-D042-4DE5-9C61-D9D4C7B101C7,statement,en_Gatukuyu,en_Gatukuyu;nl_Gatukuyu,coordinate location,,,,,-0.98,36.97
