gettyid,prefLabel,altLabel,placeType,parentString,parentStringAbbrev,placeTypeNonPreferred,prefLabelGVP,latitude,longitude
1090523," ""Mwingi"" .",, <http://vocab.getty.edu/aat/300008347," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91426, -.9333, 38.0833
1090525," ""Naivasha"" .",, <http://vocab.getty.edu/aat/300008347," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91428, -.7333, 36.4333
1090526," ""Nakuru"" .",, <http://vocab.getty.edu/aat/300008347; <http://vocab.getty.edu/aat/300387512; <http://vocab.getty.edu/aat/300387223; <http://vocab.getty.edu/aat/300008375; <http://vocab.getty.edu/aat/300387270," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .", <http://vocab.getty.edu/aat/300387512; <http://vocab.getty.edu/aat/300387223; <http://vocab.getty.edu/aat/300008375; <http://vocab.getty.edu/aat/300387270, <http://vocab.getty.edu/tgn/term/91429, -.2667, 36.0667
1090527," ""Namanga"" .",, <http://vocab.getty.edu/aat/300008347," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91430, -2.55, 36.8
1090528," ""Namuruputh"" .",, <http://vocab.getty.edu/aat/300008347," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91431, 4.5833, 35.9333
1090529," ""Nanyuki"" .",, <http://vocab.getty.edu/aat/300008347," ""Laikipia, Kenya, Africa, World"" ."," ""Laikipia, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91432, .0167, 37.0833
1090530," ""Narok"" .",, <http://vocab.getty.edu/aat/300008347," ""Narok, Kenya, Africa, World"" ."," ""Narok, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91433, -1.0667, 35.9
1090531," ""Ngong"" .",, <http://vocab.getty.edu/aat/300008347," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91434, -1.3667, 36.6667
1090532," ""Ngorengore"" .",, <http://vocab.getty.edu/aat/300008347," ""Narok, Kenya, Africa, World"" ."," ""Narok, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91435, -1.05, 35.5
1090533," ""North Horr"" .",, <http://vocab.getty.edu/aat/300008347," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91436, 3.3167, 37.0667
